,antecedents,consequents
0,['britneyspears_toxic'],['boyslikegirls_thegreatescape']
1,['justintimberlake_rockyourbody'],['beyoncé_crazyinlove']
2,['solidstar_mybody'],['beyoncé_crazyinlove']
3,['justintimberlake_rockyourbody'],['usher_yeah!']
4,['lisaloeb&ninestories_stay'],['usher_yeah!']
5,['chrisbrown_forever'],['ne-yo_missindependent']
6,['vanillaice_iceicebaby'],['ne-yo_missindependent']
7,['beyoncé_singleladies(putaringonit)'],['ne-yo_missindependent']
8,['blakeshelton_neonlight'],['ne-yo_missindependent']
9,['konshens_brukoffyuhback'],['ne-yo_missindependent']
10,['toto_holdtheline'],['kansas_carryonwaywardson']
11,['toto_holdtheline'],['queen_bohemianrhapsody-remastered2011']
12,['lynyrdskynyrd_sweethomealabama'],['kansas_carryonwaywardson']
13,['jessicamears_thisgirlisonfire'],['kansas_carryonwaywardson']
14,['sabrinacarpenter_twoyounghearts'],['kansas_carryonwaywardson']
15,['themellomen_paintingtherosesred/marchofthecards-soundtrack'],['kansas_carryonwaywardson']
16,['onedirection_onewayoranother(teenagekicks)'],['kansas_carryonwaywardson']
17,['theronettes_bemybaby'],['kansas_carryonwaywardson']
18,['lynyrdskynyrd_sweethomealabama'],['queen_bohemianrhapsody-remastered2011']
19,"[""gunsn'roses_sweetchildo'mine""]",['queen_bohemianrhapsody-remastered2011']
20,['tonight'],['vansire_driftless']
21,"[""davinci'snotebook_heathergraham""]",['theverve_bittersweetsymphony']
22,['mwanafa_asantenikwakuja'],['taiocruz_dynamite']
23,['taiocruz_dynamite'],['mwanafa_asantenikwakuja']
24,['merlehaggard&thestrangers_kentuckygambler'],['bigsean_light']
25,"[""clintblack_killin'time""]",['bigsean_light']
26,['voxtrot_ghost'],['brooks&dunn_neonmoon']
27,['meekmill_jumpouttheface(feat.future)'],['drake_portland']
28,['meekmill_jumpouttheface(feat.future)'],['bigsean_light']
29,['fortminor_rememberthename(feat.stylesofbeyond)'],['bigsean_light']
30,['lilwayne_6foot7foot'],['bigsean_light']
31,['raury_neveralone'],['bigsean_light']
32,['atribecalledquest_thespaceprogram'],['bigsean_light']
33,['meekmill_jumpouttheface(feat.future)'],['raesremmurd_comegether']
